Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,Financial Year Baseline (£m),Financial Year Forecast (£m),Financial Year Variance (%),In Year Variance Narrative,Whole Life Cost (£m),Costs Narrative,Benefits (£m),Benefits Narrative,Does the project have an evaluation plan? (self reported),Senior Responsible Owner (SRO) Name,GMPP ID
PFI Prison Expiry and Transfer Tranche 2,MoJ,Government Transformation and Service Delivery,"The aim of this project is to carry out the exit and transfer of services at HMP Ashfield, Forest Bank and Rye Hill in a safe, effective and efficient manner following the expiry of their PFI contracts. HMPPS needs to undertake essential work to ensure it is able to manage the expiry of the Project Agreements and transfer the service, while maintaining continuity so there is no disruption to the regime or capacity at the prisons and also ensure opportunities to modernise the sites and align service provision to future need is fully considered. Following a change in 23/24-Q4 the project scope also includes the expansion of HMP Rye Hill through the construction of an additional houseblock at the prison.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Limited contingency and the complexity of the expiry and transfer activities still to be delivered.",22/01/2022,31/10/2026,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/07/2026 to 31/10/2026. This is primarily due to the following factors‚
The project has re-baselined its schedule having applied lessons learned from the PFI Tranche 1 project. ",41.3,67.71,63.94,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The overspend is due to previous changes in the delivery plan, requiring some costs to be re-profiled into this financial year.",3862.16,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 4347 to 3862. This is primarily due to the following factors‚
The decrease is due to a correction of modelled costs for the additional houseblock at HMP Rye Hill. ",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. The project seeks to realise efficiencies in future operating costs following the transfer of service to new operator contracts when compared to the PFI contracts. The project benefits also include the focus on the continued quality of service across the PFI contracts until expiry, and following the transfer of service, improvements in service quality in the new contract in line with the key Departmental priorities.",Yes - Not published on the Government Evaluation Registry,James Smith,MOJ_0060_2122-Q3
Accelerated Houseblocks,MoJ,Infrastructure and Construction,"The Accelerated Houseblocks Programme supports our 20,000 additional prison places commitment; its scope is to deliver around 2,400 places.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Inflation, market risks, and increasing cost maturity contributing to increasing cost estimates.",28/09/2020,10/07/2028,"The project's end-date at 24/25-Q4 is scheduled to be 10/07/2028. This is primarily due to the following factors‚
Challenging site conditions.",559.04,342.2,38.79,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to delays following increased cost estimates which necessitated value engineering and scope review, requiring some costs to be re-profiled into future financial years.",Section 43 - Commercial interests,Section 43 - Commercial interests,0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed. The programme's other benefits are defined in the current baseline as: construction benefits and outcomes (capacity, modern methods of construction and sustainability); to enable an improvement in prisoner rehabilitation outcomes; and, during its construction, deliver local community benefits.",Yes - Published on the Government Evaluation Registry,Sachia Thompson,MOJ_0053_2021-Q4
Electronic Monitoring Expansion,MoJ,Government Transformation and Service Delivery,"The Electronic Monitoring Expansion Programme seeks to expand the impact, use and efficiency of electronic monitoring as a tool for the management of offenders in the community, helping reduce re-offending and protecting the public. The programme's aims include - effectively retendering the current service, increasing the scope and reach of electronic monitoring, building a more comprehensive evidence base, and more closely embedding the electronic monitoring service within the Probation Service.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The schedule has been re-baselined following supplier driven implementation delays, but there remain limited schedule contingency. ",01/01/2021,30/11/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/12/2024 to 30/11/2025. This is primarily due to the following factors‚
The schedule has been re-baselined following supplier driven implementation delays. ",131.4,138.5,5.4,"The budget variance is inferior or equal to 5%. 
",857.61,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remains the same at 858. This is primarily due to the following factors‚
The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
The project currently reports no monetised benefits.  The project's benefits focus on the successful operation of Electronic Monitoring.",Yes - Not published on the Government Evaluation Registry,Chris Taylor,MOJ_0058_2122-Q1
PFI Prison Expiry and Transfer Tranche 3,MoJ,Government Transformation and Service Delivery,"The PFI Tranche 3 Project will oversee the exit and transfer of operational services at HMP Dovegate, HMP Doncaster and HMP Oakwood in a safe, effective and efficient manner. The Tranche 3 project includes the re-procurement of the Prison Operator Services Framework to ensure that HMPPS continues to have an efficient vehicle for delivering operator competitions. The project also includes delivery of additional places through the construction of an additional houseblock at HMP & YOI Parc.",,AMBER,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 is AMBER. This is due to‚
This is due to the limited contingency and complexity of the expiry and transfer activities still to be delivered.",15/12/2022,28/01/2028,"The project's end-date at 24/25-Q4 is scheduled to be 28/01/2028. This is primarily due to the following factors‚
The project is on track to deliver against the baseline schedule.",4.6,4.88,6.04,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Changes in additional houseblock design following Outline Business Case approval.",4614.55,"The project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) is 4614. This is primarily due to the following factors‚
The Whole Life Costs are based on the most recent business case and include optimism bias. ",0,"The project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) is 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. The project seeks to realise efficiencies in future operating costs following the transfer of service to new operator contracts when compared to the PFI contracts. The project benefits also include the focus on the continued quality of service across the PFI contracts until expiry, and following the transfer of service, improvements in service quality in the new contract in line with the key Departmental priorities.",Yes - Not published on the Government Evaluation Registry,James Smith,MOJ_0365_2425-Q1
Drug Testing Services,MoJ,Government Transformation and Service Delivery,"The project objective is to successfully procure and implement a service for the drug testing of offenders in prisons and under supervision in the community. It aims to procure services that are future-proof and support delivery of the drug testing strategy. Two contracts are to be procured 1) urine and oral fluid-based laboratory analysis services, and (2) oral fluid point of care drug testing kits.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Ongoing implementation risks.",01/04/2021,08/10/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 08/10/2025. This is primarily due to the following factors‚
The project is on track to deliver against the baseline schedule.",1.1,1,9.09,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Reduced project resources than forecast. ",58.6,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 184 to 58. This is primarily due to the following factors‚
Significant reductions from reduced unit prices of drug testing kits. ","Low: 0.00, Mid: 0.00, High: 0.00","Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. The project's benefits focus on the successful onward operation of the Drug Testing Service.",Yes - Not published on the Government Evaluation Registry,Rachel Radice,MOJ_0073_2122-Q4
Property Transformation Programme,MoJ,Government Transformation and Service Delivery,"The programme aims to transform property services through the procurement of new contracts that align to Government Facilities Management (FM) Strategy, meet statutory minimum and operational requirements and lay the foundation for wider transformation.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The Amber Delivery Confidence Assessment is driven by inherent risk in the procurement timelines.",03/10/2022,30/09/2028,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2026 to 30/09/2028. This is primarily due to the following factors‚
Changes to the implementation date of the Procurement Act 2023 impacted the procurement timelines and the schedule was re-baselined.",16.22,11.42,29.61,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to not needing to draw on Optimism Bias.",6826.6,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 7358 to 6826. This is primarily due to the following factors‚
The decrease reflects the updated Outline Business Case costs following a reduction in requirements.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This programme currently reports no monetised benefits. The programme's benefits are related to the safe maintenance and operation of the relevant parts of the MoJ Estate.",Yes - Not published on the Government Evaluation Registry,Gary Badley,MOJ_0220_2223-Q4
Rapid Deployment Cells Project,MoJ,Infrastructure and Construction,"The Rapid Deployment Cells Programme supports our 20,000 additional prison places commitment; its scope is to offer a flexible capacity solution across the prison estate.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at Amber. This is primarily due to the following factors… 
Delays following supplier entering administration and challenging site conditions.",17/08/2020,28/02/2028,"The project's end-date at 24/25-Q4 is scheduled to be 28/02/2028. This is primarily due to the following factors‚
Delays following supplier entering administration and challenging site conditions.",322.43,87.77,72.78,"The budget variance exceeds 5%. This is primarily due to the following factors‚
This is due to delays following supplier entering administration and challenging site conditions, requiring some costs to be re-profiled into future financial years.",Section 43 - Commercial interests,Section 43 - Commercial interests,0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed. The programme's other benefits are defined in the current baseline as: construction benefits and outcomes (capacity, modern methods of construction and sustainability); to enable an improvement in prisoner rehabilitation outcomes; and, during its construction, deliver local community benefits.",Yes - Not published on the Government Evaluation Registry,Tracy Dineen,MOJ_0057_2122-Q1
Secure Children's Homes Commissioning,MoJ,Government Transformation and Service Delivery,The project aims to improve children's experiences in custody and their life outcomes by ensuring that there is an aligned cross government approach to Secure Children's Homes and that justice provision is commissioned to deliver consistently optimal care.,,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Inflation risks could increase the cost estimate. ",28/07/2022,31/03/2026,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 decreased from 01/04/2026 to 31/03/2026. This is primarily due to the following factors‚
The project is on track to deliver against the baseline schedule.",1.51,1.43,5.3,"The budget variance is less than or equal to 5%. 
",246.01,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 390 to 246. This is primarily due to the following factors‚
The decrease reflects the removal of previous contract running costs from before the project started.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. The project benefits focus on the quality of services contracts.",Yes - Not published on the Government Evaluation Registry,Lynne Abrams,MOJ_0259_2324-Q1
Evolve: WAN/LAN (Networks),MoJ,ICT,"Re-procurement of WAN and LAN Services suitable for the current and future needs of the Authority, to replace the existing Future IT Services WAN/ LAN. The project includes requirements gathering, Procurement preparation and competitive procurement followed by the transition of services and exit of the existing contracts.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Timetable risks due to complexity of multiple procurements mobilisations and limited schedule contingency. ",27/09/2021,16/08/2028,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 24/02/2028 to 16/08/2028. This is primarily due to the following factors‚
The schedule was re-baselined due to complexity of multiple procurements mobilisations.",39,7.5,80.77,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to reduced in-year activities requiring costs to be re-profiled into future years. ",253.2,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 253. This is primarily due to the following factors‚
The Whole Life Cost has remained static, and the budget remains aligned to the current baseline business case.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Confirmation of monetised benefits will be aligned to approval of Full Business Case. ",Yes - Not published on the Government Evaluation Registry,Mark Robinson,MOJ_0050_2122-Q3
Decommission and Legacy Risk Migration (DLRM),MoJ,ICT,The Decommission and Legacy Risk Mitigation (DLRM) Programme has been established to mitigate the risks presented by HMCTS legacy technology. The DLRM Programme will retire aged and unused applications where possible and for those applications still required it will update the application and migrate it to supported hosting environments.,,AMBER,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 is AMBER. This is due to‚
Data migration issues impacting timelines.",01/07/2021,31/03/2028,"The project's end-date at 24/25-Q4 is scheduled to be 31/03/2028. This is primarily due to the following factors‚
The project is on track to deliver against the baseline schedule.",40.22,38.84,3.43,"The budget variance is less than or equal to 5%.
",273.35,"The project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) is 273. This is primarily due to the following factors‚
Complexity of legacy technology, and increased supplier costs partially driven by inflation.",0,"The project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) is 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. The project's benefits focus on reducing the risk of legacy technology through decommission, transition and replacement.",Yes - Not published on the Government Evaluation Registry,Sally Richards,MOJ_0061_2122-Q3
10k Additional Prison Places - New Build,MoJ,Infrastructure and Construction,"The New Build project supports our 20,000 additional prison places commitment; its scope is to build four new prisons.",AMBER,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
One of the four new prisons, HMP Millsike is on track to deliver on schedule. Either Full or Outline planning permission has been secured for the other sites, however timeline risks remain. ",02/03/2020,31/05/2032,"The project's end-date at 24/25-Q4 is scheduled to be 31/05/2032. This is primarily due to the following factors‚
Planning permission delays at three sites.",840.85,182.8,78.26,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to delays in receiving planning permission at three sites.",Section 43 - Commercial interests,Section 43 - Commercial interests,0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed. The programme's other benefits are defined in the current baseline as: construction benefits and outcomes (capacity, modern methods of construction and sustainability); to enable an improvement in prisoner rehabilitation outcomes; and, during its construction, deliver local community benefits.",Yes - Not published on the Government Evaluation Registry,James Smith,MOJ_0050_2021-Q1
Small Secure Houseblocks ,MoJ,Infrastructure and Construction,"The Small Secure Houseblock project supports our 20,000 additional prison places commitment; its scope is to create units that will provide secure, permanent accommodation within the closed estate. The project provides a new style of accommodation for deployment in existing prison sites. Small Secure Houseblock units meet the technical needs and security standards required for Category C prisons.",RED,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 decreased from AMBER to RED. This is primarily due to the following factors‚
Challenges with construction costs affecting the deliverability of the programme that require further review.",15/11/2021,16/12/2027,"The project's end-date at 24/25-Q4 is scheduled to be 16/12/2027. This is primarily due to the following factors‚
Delays as a result of changes to programme scope.",146.86,153.2,4.32,"The budget variance is less than or equal to 5%.
",Section 43 - Commercial interests,Section 43 - Commercial interests,0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Due to the projected increasing prisons population, this project focusses on increasing capacity and there are no monetised benefits to be claimed. The programme's other benefits are defined in the current baseline as: construction benefits and outcomes (capacity, modern methods of construction and sustainability); to enable an improvement in prisoner rehabilitation outcomes; and, during its construction, deliver local community benefits.",Yes - Not published on the Government Evaluation Registry,Fiona Parker,MOJ_0144_2223-Q2
HMCTS Reform,MoJ,Government Transformation and Service Delivery,"The HMCTS Reform Programme aims to improve the accessibility and efficiency of the justice system. The programme is centred on the principle that the system should be designed around its users, the programme will make our courts much better to use, easier to run, and cheaper to operate.",GREEN,,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
The programme has completed delivery and is undertaking formal closure.",01/12/2016,31/03/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2025. This is primarily due to the following factors‚
The programme has completed delivery and is undertaking formal closure.",35.26,35.58,0.91,"The budget variance is less than or equal to 5%.
",1228.61,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 2789 to 1228. This is primarily due to the following factors‚
Whole Life Cost have reduced following programme rescoping and total recurring costs of HMCTS’ reformed operating model (baseline value £1,498m) have been removed as these are counted as disbenefits. ",2479.5,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 2899 to 2479. This is primarily due to the following factors‚
In line with a reduction in Whole Life Cost following programme rescoping, the benefits were reprofiled. HMCTS’ reformed operating model costs (baseline value £1,498m) are included as disbenefits. ",Yes - Published on the Government Evaluation Registry,"Jason Latham, John Laverick",MOJ_0028_1314-Q2
Evolve: Voice & Video,MoJ,ICT,"Re-procurement of Voice and Video Services suitable for the current and future needs of the Authority, to replace the existing Future IT Services Voice and Video contracts. The project includes requirements gathering, Procurement preparation, competitive procurement and an increase in internal capability followed by the transition of services and exit of the existing contracts.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 decreased from GREEN to AMBER. This is primarily due to the following factors‚
Timetable risks due to complexity of multiple procurements mobilisations and limited schedule contingency. ",27/09/2021,30/11/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 29/10/2027 to 30/11/2027. This is primarily due to the following factors‚
Timetable risks due to complexity of multiple procurements mobilisations. ",31.85,17.96,43.61,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to reduce in-year activities, requiring costs to be re-profiled into future years.",385.21,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 206 to 385. This is primarily due to the following factors‚
Outline Business Case update to include indexation across the contract duration and contingency, following an increase in scope, although WLC is forecast to reduce below 23/24 WLC following approval of Full Business Case.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This project currently reports no monetised benefits. Confirmation of monetised benefits will be aligned to approval of Full Business Case. ",Yes - Not published on the Government Evaluation Registry,Mark Robinson,MOJ_0049_2122-Q3
Evolve: End User Computer Service (EUCS),MoJ,ICT,"Project Brief Description: Ensure the continuation of critical End User Compute Services (EUCS) used by MoJ staff every day, and Implement an EUCS Future State model, which is crucial to achieving the strategic objective of a single technology ecosystem to all 110k MoJ users. 
In order to achieve the future state, there are 3 EUCS streams
1) The management of 3 re-procurements of EUCS suitable for the current and future needs of the Authority covering EUCS  Platform & Legacy services, Hardware Sourcing and Hardware Support Services,
2) EUCS Insourcing to bring certain capabilities in-house,
3) Converge & Accelerate focuses on the migrating users on the legacy Future IT Services to the organisations service MoJ Official.",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
The schedule was re-baselined following validation of the procurement approach and is now on track for delivery.",27/09/2021,27/03/2026,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 30/11/2025 to 27/03/2026. This is primarily due to the following factors‚
The schedule was re-baselined following validation of the procurement approach.",38.83,47.85,23.23,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The overspend is mainly due to the early utilisation of the new contracts.",193.31,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 340 to 193. This is primarily due to the following factors‚
The increase reflects significant savings following approval of Full Business Case.",28.9,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 0 to 28.90. This is primarily due to the following factors‚
Confirmation of monetisation of benefits following approval of Full Business Case.",Yes - Not published on the Government Evaluation Registry,Mark Robinson,MOJ_0062_2122-Q3
Prisoner Education Services,MoJ,Government Transformation and Service Delivery,"The Prisoner Education Service is part of the Rehabilitation Directorate within His Majesty's Prison and Probation Service. The programme has three main objectives: 1. Improve the numeracy and literacy of all prisoners who need it 2. Incentivise prisoners to improve their qualifications and skills to increase prospects of finding work/integrating back into society 3. Ensure Governors and their teams have the knowledge, tools and support they need to lead this work.",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
Tranche 1 delivery is complete, and Tranche 2 has inherent risks to its timeline. ",01/04/2021,31/12/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 30/06/2025 to 31/12/2025. This is primarily due to the following factors‚
The schedule was re-baselined to allow for finalisation of the new Core Education contracts and to increase the mobilisation duration.",213.2,200.17,6.11,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The underspend is due to delays in digital mobilisation implementation requiring some costs to be re-profiled into future financial years and reduced Prison Education Framework contract costs. ",1870.8,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 1581 to 1870. This is primarily due to the following factors‚
The increase reflects the updated Full Business Case costs and include the cost of extending the existing Prisoner Education Framework contracts as per the Strategic Outline Business Case. ",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
This programme currently reports no monetised benefits. The programme's benefits are related to the successful onward operation of the Prisoner Education Service.",Yes - Not published on the Government Evaluation Registry,Sarah McKnight,MOJ_0064_2122-Q3
Future Population and Migration Statistics (FPMS) Programme,ONS,Government Transformation and Service Delivery,The Future Population and Migration Statistics (FPMS) Programme provides the Office for National Statistics (ONS) the opportunity to continue to transform the way in which it produces statistics on the population and society. It builds on the successful transformation of the Census and Data Collection Transformation Programme (CDCTP). A focus of the programme is maximising administrative data to support the ongoing production of population and migration statistics responding to user needs and agnostic of data collection methods. ,,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 decreased from RED to AMBER. This is primarily due to the following factors‚
Certainty around the programmes funding and direction following approval of the Outline Business Case (OBC) Refresh and successful delivery of core objectives over its initial period of design and build. Most notable have been key successes in the admin data research and delivery. With key publications released to help support and progress this work forward. The programme continues to engage with users to ensure appropriate statistical design, assure statistical methods and to convey admin data quality.  The agreement by the UK Statistics Authority board on the recommendation resulting in a refreshing of the business case during 2025-26. ",28/04/2023,30/06/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/10/2024 to 30/06/2025. This is primarily due to the following factors‚
The project submitted an Outline Business Case (OBC) Refresh to HM Treasury in October 2023, this provided the programme’s first three years (up to 31 March 2026) funding. Additional funding will be sought via a Full Business Case (FBC) which will aim to deliver the objectives of the programme further as the programme continues to iterate. ",54.12,54.12,0.0,"The budget variance is less than or equal to 5%.
Not applicable as per guidance",82.61,"Compared to financial year 23/24-Q4, the project’s departmentally agreed Whole Life Cost at 24-25-Q4 (measured in £m) increased from 27 to 83. This is primarily due to the following factors:
The Whole Life Costs for the 2023 / 2024 Financial Year were revised in 24-25-Q1 to £28.491m, following an allowed £2m switch in budget from IDP to FPMS. The Whole Life Costs are showing as £82.611m as per our period 11 reporting for the 2024 / 2025 Financial Year, a year on year increase of £54m. These costs are in relation to the approval of the Outline Business Case (OBC) refresh that was submitted in October 2023 and approval of the Spending Review. Further forecasts will be added to the above figure in the next return as the programme continues to progress towards its next Business Case.","Low: 0.00, Mid: 0.00, High: 0.00","Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
The programme is currently in a research and development phase. As part of this, financial benefits are being calculated through external Value for Money and Return on Investment appraisals. To reflect this, only qualitative benefits are currently being tracked. Once a full business case has been submitted, a fuller picture will emerge of potential financial benefits from the programme. ",Yes - Published on the Government Evaluation Registry,Ruth Studley,ONS_0261_2324-Q1
